source,target,pathway_name,prob,pval
Immune,Immune,ADGRE,0.0008576636027452405,0.0
FIB,FIB,CD99,0.006191205211013455,0.0
FIB,SM,CD99,0.0006702642057968633,0.0
FIB,Keratinocyte,CD99,0.0014943980808219354,0.0
SM,FIB,CD99,0.0021569119508272026,0.0
SM,EG,CD99,0.0010024373678067604,0.0
SM,Immune,CD99,0.0012413239218687668,0.0
EG,EG,CD99,0.0065911996742285,0.0
EG,Immune,CD99,0.0007502364085308881,0.0
Keratinocyte,FIB,CD99,0.0014943980808219354,0.0
Immune,SM,CD99,0.0012413239218687668,0.0
Immune,EG,CD99,0.000750236408530888,0.0
FIB,EG,GAP,0.003127393054378446,0.0
FIB,Immune,GAP,0.00031128589544004304,0.0
EG,FIB,GAP,0.0031273930543784453,0.0
EG,EG,GAP,0.003177193706074918,0.0
Keratinocyte,Keratinocyte,GAP,0.013329732670206566,0.0
Immune,FIB,GAP,0.0003112858954400431,0.0
FIB,FIB,WNT,9.374913723731109e-05,0.0
FIB,SM,WNT,9.338739131020121e-05,0.0
FIB,EG,WNT,0.00010263619967697677,0.0
ENDO,FIB,WNT,7.09631549177645e-05,0.0
ENDO,ENDO,WNT,0.0010814357093824783,0.0
ENDO,SM,WNT,0.0006684693715480016,0.0
ENDO,EG,WNT,0.00013568956229920886,0.0
ENDO,Keratinocyte,WNT,0.000466516682194306,0.0
ENDO,Immune,WNT,0.0007196783788626142,0.0
SM,FIB,WNT,0.0005246040422575512,0.0
SM,ENDO,WNT,0.00021613050328683135,0.0
SM,SM,WNT,0.0037621625658213536,0.0
SM,EG,WNT,0.0011657486462080073,0.0
SM,Immune,WNT,0.00023622131776686217,0.0
EG,FIB,WNT,0.00028279096184477797,0.0
EG,ENDO,WNT,0.00010667004837949952,0.0
EG,SM,WNT,0.00015455218975370788,0.0
EG,EG,WNT,0.004538977782330886,0.0
EG,Keratinocyte,WNT,0.001859213769182608,0.0
EG,Immune,WNT,0.00034157234323843377,0.0
Keratinocyte,FIB,WNT,0.00011209290043753122,0.0
Keratinocyte,ENDO,WNT,0.0002194587474625967,0.0
Keratinocyte,EG,WNT,0.0005309418685849105,0.0
Keratinocyte,Keratinocyte,WNT,0.001562142141723076,0.0
Keratinocyte,Immune,WNT,0.0010566863785781953,0.0
Immune,ENDO,WNT,0.00042604636355943144,0.0
Immune,SM,WNT,0.0006777520902029988,0.0
Immune,EG,WNT,0.0007162976345130047,0.0
Immune,Keratinocyte,WNT,0.00039183288209021353,0.0
Immune,Immune,WNT,0.00025289271162778405,0.0
ENDO,SM,APP,0.0025064406797312795,0.0
SM,ENDO,APP,0.0025064406797312795,0.0
EG,EG,APP,0.013577422914528903,0.0
EG,Immune,APP,0.0013192632363057592,0.0
Immune,EG,APP,0.0013192632363057592,0.0
FIB,EG,SLURP,0.0002467884074492723,0.0
ENDO,SM,SLURP,0.0015802186976519527,0.0
ENDO,EG,SLURP,0.0005598218559094157,0.0
SM,SM,SLURP,0.004820381779042066,0.0
SM,EG,SLURP,0.0005114719228824208,0.0
SM,Immune,SLURP,0.00029922320165104915,0.0
EG,FIB,SLURP,0.0005377592905513869,0.0
EG,ENDO,SLURP,0.0004495551128753742,0.0
EG,SM,SLURP,0.00043463870627602545,0.0
EG,EG,SLURP,0.005819217565832176,0.0
EG,Keratinocyte,SLURP,0.0009891258260540296,0.0
EG,Immune,SLURP,0.002221421451161406,0.0
Keratinocyte,FIB,SLURP,1.8439102165951278e-05,0.0
Keratinocyte,Keratinocyte,SLURP,0.0005732092577525972,0.0
Keratinocyte,Immune,SLURP,0.0004426924978525888,0.0
Immune,SM,SLURP,0.0007074970806906241,0.0
Immune,EG,SLURP,0.000542619930628092,0.0
FIB,Keratinocyte,CLDN,0.0010074070122873826,0.0
SM,SM,CLDN,0.002289608782362357,0.0
SM,Immune,CLDN,0.000749417628054684,0.0
EG,EG,CLDN,0.005396723932163535,0.0
EG,Keratinocyte,CLDN,0.0010781434187114324,0.0
EG,Immune,CLDN,0.0009049675357316565,0.0
Keratinocyte,FIB,CLDN,0.0010074070122873826,0.0
